ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
0,2636,5,0,4,1
2,2636,5,0,4,1
4,2636,5,0,4,1
6,2636,5,0,4,1
8,2636,5,0,4,1
10,2636,5,0,4,1
13,2636,5,0,4,1
15,2636,5,0,4,1
17,2636,5,0,4,1
19,2636,5,0,4,1
21,2636,5,0,4,1
23,2636,5,0,4,1
25,2636,5,0,4,1
27,2636,5,0,4,1
29,2636,5,0,4,1
31,2636,5,0,5,1
33,2636,5,0,5,1
36,2636,5,0,5,1
38,2636,5,0,5,1
40,2636,5,0,5,1
42,2636,5,0,5,1
44,2636,5,0,5,1
46,2636,5,0,5,1
48,2636,5,0,5,1
50,2636,5,0,5,1
52,2636,5,0,5,1
54,2636,5,0,5,1
56,2636,5,0,5,1
58,2636,5,0,5,1
61,2636,5,0,6,1
63,2636,5,0,6,1
65,2636,5,0,6,1
67,2636,5,0,6,1
69,2636,5,0,6,1
71,2636,5,0,6,1
73,2636,5,0,6,1
75,2636,5,0,6,1
77,2636,5,0,6,1
79,2636,5,0,6,1
81,2636,5,0,6,1
83,2636,5,0,6,1
85,2636,5,0,6,1
87,2636,5,0,6,1
89,2636,5,0,6,1
91,2636,5,0,7,1
93,2636,5,0,7,1
95,2636,5,0,7,1
97,2636,5,0,7,1
100,2636,5,0,7,1
102,2636,5,0,7,1
104,2636,5,0,7,1
106,2636,5,0,7,1
108,2636,5,0,7,1
110,2636,5,0,7,1
112,2636,5,0,7,1
114,2636,5,0,7,1
116,2636,5,0,7,1
118,2636,5,0,7,1
120,2636,5,0,7,1
122,2636,5,0,8,1
124,2636,5,0,8,1
126,2636,5,0,8,1
128,2636,5,0,8,1
130,2636,5,0,8,1
133,2636,5,0,8,1
135,2636,5,0,8,1
137,2636,5,0,8,1
139,2636,5,0,8,1
141,2636,5,0,8,1
143,2636,5,0,8,1
145,2636,5,0,8,1
147,2636,5,0,8,1
149,2636,5,0,8,1
