% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 39.09    0.159956          15     10007         1 epoll_wait
 35.31    0.144488          14     10000           sendto
 25.21    0.103159           5     20010      9999 recvfrom
  0.05    0.000207          13        15         2 openat
  0.05    0.000187           9        19           read
  0.04    0.000169           7        24           fcntl
  0.04    0.000151          11        13         2 accept4
  0.03    0.000121           4        26           close
  0.02    0.000100           8        12           write
  0.02    0.000100           4        23           epoll_ctl
  0.02    0.000087           7        11           statx
  0.02    0.000083           5        15           mmap
  0.02    0.000063           9         7           lseek
  0.01    0.000056          11         5           mprotect
  0.01    0.000037           9         4           getdents64
  0.01    0.000030           4         7           rt_sigaction
  0.01    0.000022          11         2           getrandom
  0.01    0.000021          21         1           socket
  0.00    0.000019           3         6           fstat
  0.00    0.000019           9         2           munmap
  0.00    0.000018           9         2           sched_getaffinity
  0.00    0.000016           5         3           brk
  0.00    0.000014           7         2           rt_sigprocmask
  0.00    0.000010           5         2           pread64
  0.00    0.000010          10         1           bind
  0.00    0.000009           9         1           poll
  0.00    0.000009           4         2           prlimit64
  0.00    0.000008           2         3           sigaltstack
  0.00    0.000008           8         1           epoll_create1
  0.00    0.000007           7         1           listen
  0.00    0.000005           5         1           arch_prctl
  0.00    0.000005           5         1           gettid
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000004           4         1           set_robust_list
  0.00    0.000004           4         1           rseq
  0.00    0.000000           0         1         1 rt_sigreturn
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.409206          10     40235     10006 total
