% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 99.75    0.641088          32     19998         3 io_uring_enter
  0.03    0.000193          10        19           read
  0.03    0.000178          11        15         2 openat
  0.03    0.000167          27         6           munmap
  0.02    0.000147          13        11           write
  0.02    0.000125           8        15           close
  0.02    0.000123         123         1           io_uring_setup
  0.02    0.000119           6        19           mmap
  0.02    0.000117          10        11           statx
  0.01    0.000079          11         7           lseek
  0.01    0.000054           7         7           rt_sigaction
  0.01    0.000050          12         4           getdents64
  0.00    0.000024           4         6           fstat
  0.00    0.000023           7         3           brk
  0.00    0.000023          11         2           rt_sigprocmask
  0.00    0.000020          20         1           socket
  0.00    0.000019           6         3           sigaltstack
  0.00    0.000018           9         2           sched_getaffinity
  0.00    0.000017           3         5           mprotect
  0.00    0.000015          15         1           bind
  0.00    0.000014          14         1           io_uring_register
  0.00    0.000011          11         1           listen
  0.00    0.000009           9         1           poll
  0.00    0.000009           4         2           getrandom
  0.00    0.000008           8         1           uname
  0.00    0.000007           7         1           gettid
  0.00    0.000007           3         2           prlimit64
  0.00    0.000005           5         1         1 rt_sigreturn
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.642669          31     20154         7 total
