% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 83.05    5.326329         530     10040           epoll_wait
 11.60    0.744030      186007         4         1 futex
  3.21    0.206150          20     10000           sendto
  1.71    0.109840           5     20009      9998 recvfrom
  0.06    0.004030          82        49           close
  0.03    0.001982          38        51           rt_sigprocmask
  0.03    0.001686          43        39           mmap
  0.03    0.001647          43        38           fcntl
  0.03    0.001619          59        27           sigaltstack
  0.02    0.001425          47        30           epoll_ctl
  0.02    0.001400         175         8           clone3
  0.02    0.001294         161         8           sched_setaffinity
  0.02    0.001273          60        21           mprotect
  0.02    0.001005          50        20         9 accept4
  0.01    0.000913          57        16           munmap
  0.01    0.000856          35        24         2 openat
  0.01    0.000820          51        16           setsockopt
  0.01    0.000721          90         8           socket
  0.01    0.000713          25        28           read
  0.01    0.000674          42        16           madvise
  0.01    0.000552          69         8           bind
  0.01    0.000473          47        10           sched_getaffinity
  0.01    0.000467          58         8           listen
  0.01    0.000439          48         9           gettid
  0.01    0.000411         411         1           execve
  0.01    0.000397          44         9           set_robust_list
  0.01    0.000359          39         9           rseq
  0.01    0.000352          44         8           epoll_create1
  0.00    0.000315          31        10           getrandom
  0.00    0.000259          32         8           prctl
  0.00    0.000169          11        15           write
  0.00    0.000115          10        11           statx
  0.00    0.000081          11         7           lseek
  0.00    0.000066          16         4           getdents64
  0.00    0.000062           7         8           rt_sigaction
  0.00    0.000054           9         6           fstat
  0.00    0.000032          10         3           brk
  0.00    0.000019           9         2           pread64
  0.00    0.000016           8         2           prlimit64
  0.00    0.000011          11         1         1 access
  0.00    0.000009           9         1           poll
  0.00    0.000009           9         1         1 rt_sigreturn
  0.00    0.000008           8         1           arch_prctl
  0.00    0.000008           8         1           set_tid_address
------ ----------- ----------- --------- --------- ------------------
100.00    6.413090         157     40595     10012 total
