ts_s,rss_kib,fds,zombies
0,1084,5,0
15,1084,105,0
30,1084,105,0
45,1084,105,0
60,1084,105,0
75,1084,105,0
90,1084,105,0
105,1084,105,0
120,1084,105,0
135,1084,105,0
150,1084,105,0
165,1084,105,0
180,1084,105,0
195,1084,105,0
210,1084,105,0
225,1084,105,0
240,1084,105,0
255,1084,105,0
270,1084,105,0
285,1084,105,0
300,1084,105,0
315,1084,105,0
330,1084,105,0
345,1084,105,0
360,1084,105,0
375,1084,105,0
390,1084,105,0
405,1084,105,0
420,1084,105,0
435,1084,105,0
450,1084,105,0
465,1084,105,0
480,1084,105,0
495,1084,105,0
510,1084,105,0
525,1084,105,0
540,1084,105,0
555,1084,105,0
570,1084,105,0
585,1084,105,0
