ts_s,rss_kib,fds,zombies
0,1052,102,0
15,1052,105,0
30,1052,105,0
45,1052,105,0
60,1052,105,0
75,1052,105,0
90,1052,105,0
105,1052,105,0
120,1052,105,0
135,1052,105,0
150,1052,105,0
165,1052,105,0
180,1052,105,0
195,1052,105,0
210,1052,105,0
225,1052,105,0
240,1052,105,0
255,1052,105,0
270,1052,105,0
285,1052,105,0
300,1052,105,0
315,1052,105,0
330,1052,105,0
345,1052,105,0
360,1052,105,0
375,1052,105,0
390,1052,105,0
405,1052,105,0
420,1052,105,0
435,1052,105,0
450,1052,105,0
465,1052,105,0
480,1052,105,0
495,1052,105,0
510,1052,105,0
525,1052,105,0
540,1052,105,0
555,1052,105,0
570,1052,105,0
585,1052,105,0
