ts_s,rss_kib,fds,zombies
0,2288,5,0
15,2288,4,0
30,2288,4,0
45,2288,4,0
60,2288,4,0
75,2288,4,0
90,2288,4,0
105,2288,4,0
120,2288,4,0
135,2288,4,0
150,2288,4,0
165,2288,4,0
180,2288,4,0
195,2288,4,0
210,2288,4,0
225,2288,4,0
240,2288,4,0
255,2288,4,0
270,2288,4,0
285,2288,4,0
300,2288,4,0
315,2288,4,0
330,2288,4,0
345,2288,4,0
360,2288,4,0
375,2288,4,0
390,2288,4,0
405,2288,4,0
420,2288,4,0
435,2288,4,0
450,2288,4,0
465,2288,4,0
480,2288,4,0
495,2288,4,0
510,2288,4,0
525,2288,4,0
540,2288,4,0
555,2288,4,0
570,2288,4,0
585,2288,4,0
