ts_s,rss_kib,fds,zombies
0,1040,5,0
15,1040,5,0
30,1040,5,0
45,1040,5,0
60,1040,5,0
75,1040,5,0
90,1040,5,0
106,1040,5,0
121,1040,5,0
136,1040,5,0
151,1040,5,0
166,1040,5,0
181,1040,5,0
196,1040,5,0
211,1040,5,0
226,1040,5,0
241,1040,5,0
256,1040,5,0
271,1040,5,0
286,1040,5,0
301,1040,5,0
316,1040,5,0
331,1040,5,0
346,1040,5,0
361,1040,5,0
376,1040,5,0
391,1040,5,0
406,1040,5,0
421,1040,5,0
436,1040,5,0
451,1040,5,0
466,1040,5,0
481,1040,5,0
496,1040,5,0
511,1040,5,0
526,1040,5,0
541,1040,5,0
556,1040,5,0
571,1040,5,0
586,1040,5,0
