ts_s,rss_kib,fds,zombies
0,1048,4,0
15,1048,104,0
30,1048,104,0
45,1048,104,0
60,1048,104,0
75,1048,104,0
90,1048,104,0
105,1048,104,0
120,1048,104,0
135,1048,104,0
150,1048,104,0
165,1048,104,0
180,1048,104,0
195,1048,104,0
210,1048,104,0
225,1048,104,0
240,1048,104,0
255,1048,104,0
270,1048,104,0
285,1048,104,0
301,1048,104,0
316,1048,104,0
331,1048,104,0
346,1048,104,0
361,1048,104,0
376,1048,104,0
391,1048,104,0
406,1048,104,0
421,1048,104,0
436,1048,104,0
451,1048,104,0
466,1048,104,0
481,1048,104,0
496,1048,104,0
511,1048,104,0
526,1048,104,0
541,1048,104,0
556,1048,104,0
571,1048,104,0
586,1048,104,0
