ts_s,rss_kib,fds,zombies
0,1124,3,0
15,1124,3,0
30,1124,3,0
45,1124,3,0
60,1124,3,0
75,1124,3,0
90,1124,3,0
105,1124,3,0
120,1124,3,0
135,1124,3,0
150,1124,3,0
165,1124,3,0
180,1124,3,0
195,1124,3,0
210,1124,3,0
225,1124,3,0
240,1124,3,0
255,1124,3,0
270,1124,3,0
285,1124,3,0
300,1124,3,0
315,1124,3,0
330,1124,3,0
345,1124,3,0
360,1124,3,0
375,1124,3,0
390,1124,3,0
405,1124,3,0
420,1124,3,0
435,1124,3,0
450,1124,3,0
465,1124,3,0
480,1124,3,0
495,1124,3,0
511,1124,3,0
526,1124,3,0
541,1124,3,0
556,1124,3,0
571,1124,3,0
586,1124,3,0
