ts_s,rss_kib,fds,zombies
0,1076,104,0
15,1076,104,0
30,1076,104,0
45,1076,104,0
60,1076,104,0
75,1076,104,0
90,1076,104,0
105,1076,104,0
120,1076,104,0
135,1076,104,0
150,1076,104,0
165,1076,104,0
180,1076,104,0
195,1076,104,0
210,1076,104,0
225,1076,104,0
240,1076,104,0
256,1076,104,0
271,1076,104,0
286,1076,104,0
301,1076,104,0
316,1076,104,0
331,1076,104,0
346,1076,104,0
361,1076,104,0
376,1076,104,0
391,1076,104,0
406,1076,104,0
421,1076,104,0
436,1076,104,0
451,1076,104,0
466,1076,104,0
481,1076,104,0
496,1076,104,0
511,1076,104,0
526,1076,104,0
542,1076,104,0
557,1076,104,0
572,1076,104,0
587,1076,104,0
