ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
0,2416,5,0,4,1
2,2416,5,0,4,1
4,2416,5,0,4,1
6,2416,5,0,4,1
8,2416,5,0,4,1
10,2416,5,0,4,1
12,2416,5,0,4,1
14,2416,5,0,4,1
16,2416,5,0,4,1
18,2416,5,0,4,1
20,2416,5,0,4,1
22,2416,5,0,4,1
25,2416,5,0,4,1
27,2416,5,0,4,1
29,2416,5,0,4,1
31,2416,5,0,5,1
33,2416,5,0,5,1
35,2416,5,0,5,1
37,2416,5,0,5,1
39,2416,5,0,5,1
41,2416,5,0,5,1
43,2416,5,0,5,1
45,2416,5,0,5,1
47,2416,5,0,5,1
49,2416,5,0,5,1
51,2416,5,0,5,1
53,2416,5,0,5,1
55,2416,5,0,5,1
57,2416,5,0,5,1
59,2416,5,0,5,1
61,2416,5,0,6,1
63,2416,5,0,6,1
65,2416,5,0,6,1
67,2416,5,0,6,1
69,2416,5,0,6,1
71,2416,5,0,6,1
73,2416,5,0,6,1
75,2416,5,0,6,1
77,2416,5,0,6,1
79,2416,5,0,6,1
81,2416,5,0,6,1
83,2416,5,0,6,1
85,2416,5,0,6,1
87,2416,5,0,6,1
89,2416,5,0,6,1
91,2416,5,0,7,1
93,2416,5,0,7,1
95,2416,5,0,7,1
97,2416,5,0,7,1
99,2416,5,0,7,1
101,2416,5,0,7,1
103,2416,5,0,7,1
105,2416,5,0,7,1
108,2416,5,0,7,1
110,2416,5,0,7,1
112,2416,5,0,7,1
114,2416,5,0,7,1
116,2416,5,0,7,1
118,2416,5,0,7,1
120,2416,5,0,7,1
122,2416,5,0,8,1
124,2416,5,0,8,1
126,2416,5,0,8,1
128,2416,5,0,8,1
130,2416,5,0,8,1
132,2416,5,0,8,1
134,2416,5,0,8,1
136,2416,5,0,8,1
138,2416,5,0,8,1
140,2416,5,0,8,1
142,2416,5,0,8,1
144,2416,5,0,8,1
146,2416,5,0,8,1
148,2416,5,0,8,1
150,2416,5,0,8,1
