ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
0,2440,189,0,24,1
2,3480,3093,0,87,3
4,4384,5270,0,100,5
6,6264,7394,0,109,8
8,6264,9496,0,113,12
10,11004,10004,0,114,14
12,11004,10004,0,114,18
14,11004,10004,0,114,24
16,11004,10004,0,114,30
18,11004,10004,0,114,33
20,11004,10004,0,114,36
22,11004,10004,0,114,38
24,11004,10004,0,114,41
26,11004,10004,0,114,45
28,11004,10004,0,114,49
30,11004,10004,0,114,53
32,11004,10004,0,114,58
34,11004,10004,0,114,61
36,11004,10004,0,114,66
38,11004,4,0,115,94
