ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
0,2628,3,0,3,2
2,2628,3,0,24,2
4,2628,3,0,44,2
6,2628,3,0,65,2
8,2628,3,0,85,2
10,2628,3,0,105,2
12,2628,3,0,126,2
14,2628,3,0,146,2
17,2628,3,0,167,2
19,2628,3,0,187,2
21,2628,3,0,208,2
23,2628,3,0,228,2
25,2628,3,0,249,2
27,2628,3,0,269,2
29,2628,3,0,289,2
31,2628,3,0,310,2
33,2628,3,0,330,2
35,2628,3,0,351,2
37,2628,3,0,372,2
39,2628,3,0,392,2
41,2628,3,0,413,2
43,2628,3,0,433,2
45,2628,3,0,453,2
47,2628,3,0,474,2
49,2628,3,0,494,2
51,2628,3,0,515,2
53,2628,3,0,535,2
56,2628,3,0,556,2
58,2628,3,0,577,2
60,2628,3,0,597,2
62,2628,3,0,618,2
64,2628,3,0,639,2
66,2628,3,0,659,2
68,2628,3,0,680,2
70,2628,3,0,700,2
72,2628,3,0,721,2
74,2628,3,0,741,2
76,2628,3,0,762,2
78,2628,3,0,782,2
80,2628,3,0,802,2
82,2628,3,0,823,2
84,2628,3,0,843,2
86,2628,3,0,864,2
88,2628,3,0,884,2
90,2628,3,0,905,2
93,2628,3,0,925,2
95,2628,3,0,946,2
97,2628,3,0,966,2
99,2628,3,0,987,2
101,2628,3,0,1008,2
103,2628,3,0,1029,2
105,2628,3,0,1049,2
107,2628,3,0,1070,2
109,2628,3,0,1090,2
111,2628,3,0,1111,2
113,2628,3,0,1131,2
115,2628,3,0,1152,2
117,2628,3,0,1172,2
119,2628,3,0,1193,2
121,2628,3,0,1213,2
123,2628,3,0,1234,2
125,2628,3,0,1254,2
128,2628,3,0,1275,2
130,2628,3,0,1295,2
132,2628,3,0,1316,2
134,2628,3,0,1336,2
136,2628,3,0,1357,2
138,2628,3,0,1377,2
140,2628,3,0,1397,2
142,2628,3,0,1418,2
144,2628,3,0,1438,2
146,2628,3,0,1458,2
148,2628,3,0,1479,2
150,2628,3,0,1500,2
