ts_s,rss_kib,fds,zombies,ctx_voluntary,ctx_involuntary
0,2624,118,0,14,0
2,91600,3437,0,1645,7
4,232880,8946,0,4058,28
6,270668,10004,0,4496,29
8,270668,10004,0,4496,29
10,270668,10004,0,4496,29
12,270668,10004,0,4496,29
14,270668,10004,0,4496,29
16,270668,10004,0,4496,29
18,270668,10004,0,4496,29
20,270668,10004,0,4496,29
22,270668,10004,0,4496,29
24,270668,10004,0,4496,29
26,270668,10004,0,4496,29
29,270668,10004,0,4496,29
31,270668,10004,0,4496,29
33,270668,10004,0,4496,29
35,267284,955,0,4496,29
