% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 63.33    0.000076           2        29           close
 12.50    0.000015           5         3           munmap
  8.33    0.000010           0        23           epoll_ctl
  6.67    0.000008           0     20011     10000 recvfrom
  4.17    0.000005           0     10007         1 epoll_wait
  3.33    0.000004           4         1         1 rt_sigreturn
  1.67    0.000002           0         3           sigaltstack
  0.00    0.000000           0        20           read
  0.00    0.000000           0        12           write
  0.00    0.000000           0        12           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         1           lseek
  0.00    0.000000           0        25           mmap
  0.00    0.000000           0         9           mprotect
  0.00    0.000000           0         6           brk
  0.00    0.000000           0         7           rt_sigaction
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         1           socket
  0.00    0.000000           0     10000           sendto
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           listen
  0.00    0.000000           0         2           execve
  0.00    0.000000           0        24           fcntl
  0.00    0.000000           0         2           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.000000           0         3           sched_getaffinity
  0.00    0.000000           0         6           getdents64
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0         3           set_mempolicy
  0.00    0.000000           0         3           get_mempolicy
  0.00    0.000000           0        19         3 openat
  0.00    0.000000           0         2           set_robust_list
  0.00    0.000000           0        13         2 accept4
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         3           prlimit64
  0.00    0.000000           0         3           getrandom
  0.00    0.000000           0         7           statx
  0.00    0.000000           0         2           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.000120           0     40276     10009 total
