% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 34.79    0.056980           5     10000           sendto
 32.78    0.053690           2     20015         1 epoll_wait
 18.59    0.030453           1     20023           epoll_ctl
 13.25    0.021707           2     10011           recvfrom
  0.14    0.000231         115         2           execve
  0.11    0.000187           9        19         3 openat
  0.09    0.000153           5        29           close
  0.05    0.000087           3        25           mmap
  0.03    0.000050           2        20           read
  0.03    0.000044           4        11           accept4
  0.02    0.000033           1        24           fcntl
  0.02    0.000030           2        12           write
  0.02    0.000026           3         7           statx
  0.01    0.000019           3         6           getdents64
  0.01    0.000017           1         9           mprotect
  0.01    0.000016           1        12           fstat
  0.01    0.000011           1         7           rt_sigaction
  0.01    0.000010           3         3           munmap
  0.00    0.000007           2         3           sigaltstack
  0.00    0.000006           1         4           pread64
  0.00    0.000006           6         1           socket
  0.00    0.000004           2         2         2 access
  0.00    0.000004           1         3           sched_getaffinity
  0.00    0.000003           0         6           brk
  0.00    0.000003           3         1           bind
  0.00    0.000003           3         1           epoll_create1
  0.00    0.000003           1         3           getrandom
  0.00    0.000002           2         1         1 rt_sigreturn
  0.00    0.000002           2         1           listen
  0.00    0.000002           1         2           arch_prctl
  0.00    0.000002           2         1           gettid
  0.00    0.000002           1         2           set_tid_address
  0.00    0.000002           1         2           set_robust_list
  0.00    0.000002           0         3           prlimit64
  0.00    0.000002           1         2           rseq
  0.00    0.000001           1         1           lseek
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.000000           0         3           set_mempolicy
  0.00    0.000000           0         3           get_mempolicy
------ ----------- ----------- --------- --------- ------------------
100.00    0.163800           2     60282         7 total
