% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 43.26    0.069765           6     10000           sendto
 28.88    0.046572           2     20010      9999 recvfrom
 27.30    0.044022           4     10007         1 epoll_wait
  0.12    0.000194           6        29           close
  0.06    0.000099           7        13         2 accept4
  0.05    0.000085           3        23           epoll_ctl
  0.04    0.000071           3        19         3 openat
  0.04    0.000068           2        25           mmap
  0.04    0.000065           2        24           fcntl
  0.03    0.000055           2        20           read
  0.03    0.000054           4        11           write
  0.02    0.000029           4         7           statx
  0.02    0.000028           3         9           mprotect
  0.01    0.000020           3         6           getdents64
  0.01    0.000018           6         3           munmap
  0.01    0.000016           2         7           rt_sigaction
  0.01    0.000014           1        12           fstat
  0.01    0.000011          11         1           socket
  0.00    0.000007           1         6           brk
  0.00    0.000007           7         1           bind
  0.00    0.000007           2         3           sigaltstack
  0.00    0.000006           1         4           pread64
  0.00    0.000006           2         3           sched_getaffinity
  0.00    0.000006           2         3           getrandom
  0.00    0.000005           5         1           epoll_create1
  0.00    0.000005           1         3           prlimit64
  0.00    0.000004           4         1           poll
  0.00    0.000004           4         1         1 rt_sigreturn
  0.00    0.000004           4         1           listen
  0.00    0.000003           3         1           lseek
  0.00    0.000003           1         2           arch_prctl
  0.00    0.000003           3         1           gettid
  0.00    0.000003           1         2           set_tid_address
  0.00    0.000003           1         2           set_robust_list
  0.00    0.000003           1         2           rseq
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.000000           0         3           set_mempolicy
  0.00    0.000000           0         3           get_mempolicy
------ ----------- ----------- --------- --------- ------------------
100.00    0.161265           4     40274     10008 total
