% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 39.68    0.001455         103        14         3 wait4
 22.63    0.000830          75        11           clone
 10.58    0.000388         194         2           execve
  4.23    0.000155           6        25           mmap
  3.38    0.000124           6        19         3 openat
  3.25    0.000119           8        14         3 accept4
  2.89    0.000106           5        20           read
  2.35    0.000086           1        49           close
  1.45    0.000053           4        11           write
  1.34    0.000049           5         9           mprotect
  0.93    0.000034           2        12           fstat
  0.87    0.000032           4         7           statx
  0.85    0.000031          31         1           sched_setaffinity
  0.79    0.000029           4         6           getdents64
  0.55    0.000020           3         6           brk
  0.38    0.000014           2         6           rt_sigaction
  0.35    0.000013           6         2           munmap
  0.30    0.000011           3         3           rt_sigreturn
  0.30    0.000011           2         4           pread64
  0.30    0.000011          11         1           socket
  0.27    0.000010           3         3           sched_getaffinity
  0.25    0.000009           3         3           get_mempolicy
  0.22    0.000008           4         2         2 access
  0.22    0.000008           2         3           set_mempolicy
  0.22    0.000008           2         3           prlimit64
  0.22    0.000008           2         3           getrandom
  0.22    0.000008           4         2           rseq
  0.19    0.000007           7         1           bind
  0.14    0.000005           5         1           listen
  0.14    0.000005           2         2           sigaltstack
  0.14    0.000005           2         2           arch_prctl
  0.11    0.000004           2         2           set_tid_address
  0.11    0.000004           0        13           set_robust_list
  0.08    0.000003           3         1           poll
  0.05    0.000002           2         1           lseek
  0.05    0.000002           2         1           gettid
  0.00    0.000000           0     10000           sendto
  0.00    0.000000           0     10011           recvfrom
  0.00    0.000000           0        22           setsockopt
  0.00    0.000000           0        11           prctl
------ ----------- ----------- --------- --------- ------------------
100.00    0.003667           0     20309        11 total
