% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 99.46    0.147660           7     20012         3 io_uring_enter
  0.15    0.000216         108         2           execve
  0.09    0.000132           4        29           mmap
  0.07    0.000101          14         7           munmap
  0.04    0.000058           2        20           read
  0.04    0.000057           3        19         3 openat
  0.03    0.000041           2        18           close
  0.02    0.000027           2        11           write
  0.01    0.000022           2         9           mprotect
  0.01    0.000020           1        12           fstat
  0.01    0.000018          18         1           sched_setaffinity
  0.01    0.000012           3         4           pread64
  0.01    0.000011          11         1           io_uring_setup
  0.01    0.000010           1         6           brk
  0.01    0.000010           1         6           getdents64
  0.01    0.000010           3         3           set_mempolicy
  0.01    0.000008           2         3           get_mempolicy
  0.00    0.000006           2         3           sched_getaffinity
  0.00    0.000005           2         2         2 access
  0.00    0.000005           5         1           io_uring_register
  0.00    0.000004           4         1           socket
  0.00    0.000003           3         1         1 rt_sigreturn
  0.00    0.000003           3         1           bind
  0.00    0.000003           1         2           arch_prctl
  0.00    0.000003           1         2           set_tid_address
  0.00    0.000003           1         2           set_robust_list
  0.00    0.000003           1         3           prlimit64
  0.00    0.000003           1         3           getrandom
  0.00    0.000003           1         2           rseq
  0.00    0.000002           0         7           rt_sigaction
  0.00    0.000002           2         1           listen
  0.00    0.000002           2         1           uname
  0.00    0.000002           0         3           sigaltstack
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         1           lseek
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         7           statx
------ ----------- ----------- --------- --------- ------------------
100.00    0.148465           7     20208         9 total
