% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 56.10    0.065235          11      5684           sendto
 42.81    0.049782           8      5695           recvfrom
  0.19    0.000220         110         2           execve
  0.15    0.000170           6        27           close
  0.12    0.000141           5        25           mmap
  0.10    0.000113           5        19         3 openat
  0.09    0.000100           5        20           read
  0.08    0.000092           8        11           accept4
  0.05    0.000062           2        22           setsockopt
  0.05    0.000053           4        11           write
  0.04    0.000047           5         9           mprotect
  0.03    0.000030           5         6           getdents64
  0.03    0.000030           4         7           statx
  0.02    0.000029          29         1           sched_setaffinity
  0.02    0.000027           2        12           fstat
  0.01    0.000016           2         6           brk
  0.01    0.000012           2         5           rt_sigaction
  0.01    0.000011           5         2           munmap
  0.01    0.000011           2         4           pread64
  0.01    0.000011          11         1           socket
  0.01    0.000010           3         3           get_mempolicy
  0.01    0.000009           3         3           sched_getaffinity
  0.01    0.000009           3         3           set_mempolicy
  0.01    0.000009           3         3           getrandom
  0.01    0.000007           2         3           prlimit64
  0.01    0.000006           6         1           bind
  0.01    0.000006           3         2           sigaltstack
  0.00    0.000005           2         2           rseq
  0.00    0.000004           4         1           poll
  0.00    0.000004           2         2         2 access
  0.00    0.000004           4         1           listen
  0.00    0.000004           2         2           arch_prctl
  0.00    0.000004           2         2           set_tid_address
  0.00    0.000004           2         2           set_robust_list
  0.00    0.000002           2         1           lseek
  0.00    0.000002           2         1           gettid
------ ----------- ----------- --------- --------- ------------------
100.00    0.116281          10     11601         5 total
