% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 88.32    3.676414         332     11048           epoll_wait
  7.89    0.328328       82082         4         1 futex
  2.10    0.087258           8     10000           sendto
  1.28    0.053327           2     20010      9999 recvfrom
  0.04    0.001621          24        65           close
  0.04    0.001560         120        13           sched_setaffinity
  0.03    0.001208          26        45           mprotect
  0.03    0.001068          21        49           rt_sigprocmask
  0.03    0.001058          17        61           mmap
  0.02    0.001018          22        46           fcntl
  0.02    0.000991          82        12           clone3
  0.02    0.000871          37        23           munmap
  0.02    0.000858          22        39           sigaltstack
  0.02    0.000812          23        34           epoll_ctl
  0.02    0.000703          37        19         8 accept4
  0.01    0.000571          17        33         3 openat
  0.01    0.000568          23        24           setsockopt
  0.01    0.000491          14        34           read
  0.01    0.000460          38        12           socket
  0.01    0.000373          31        12           epoll_create1
  0.01    0.000350          23        15           sched_getaffinity
  0.01    0.000339          28        12           listen
  0.01    0.000329          27        12           bind
  0.01    0.000327          23        14           rseq
  0.01    0.000326          27        12           madvise
  0.01    0.000314          22        14           set_robust_list
  0.01    0.000288          22        13           gettid
  0.01    0.000286          19        15           getrandom
  0.01    0.000257          21        12           prctl
  0.00    0.000061           4        15           write
  0.00    0.000030           4         7           statx
  0.00    0.000020           2         8           rt_sigaction
  0.00    0.000017           2         6           getdents64
  0.00    0.000011           0        12           fstat
  0.00    0.000007           1         6           brk
  0.00    0.000005           1         3           prlimit64
  0.00    0.000004           4         1           poll
  0.00    0.000004           1         4           pread64
  0.00    0.000003           3         1           lseek
  0.00    0.000003           3         1         1 rt_sigreturn
  0.00    0.000003           1         2           arch_prctl
  0.00    0.000002           1         2           set_tid_address
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         3           set_mempolicy
  0.00    0.000000           0         3           get_mempolicy
------ ----------- ----------- --------- --------- ------------------
100.00    4.162544          99     41780     10014 total
