% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 48.32    0.124865           6     20017         1 poll
 37.06    0.095774           9     10000           sendto
 14.03    0.036264           3     10011           recvfrom
  0.14    0.000350         175         2           execve
  0.11    0.000297          10        28           close
  0.05    0.000122           6        19         3 openat
  0.05    0.000117           5        20           read
  0.04    0.000100           4        25           mmap
  0.03    0.000081           7        11           accept4
  0.02    0.000060           2        24           fcntl
  0.02    0.000048           5         9           mprotect
  0.02    0.000047           4        11           write
  0.01    0.000033           4         7           statx
  0.01    0.000030          10         3           munmap
  0.01    0.000027           4         6           getdents64
  0.01    0.000023           1        12           fstat
  0.01    0.000023          23         1           sched_setaffinity
  0.01    0.000019           2         7           rt_sigaction
  0.01    0.000016           2         6           brk
  0.00    0.000010          10         1           socket
  0.00    0.000010           3         3           sched_getaffinity
  0.00    0.000009           3         3           set_mempolicy
  0.00    0.000009           3         3           getrandom
  0.00    0.000008           2         3           get_mempolicy
  0.00    0.000007           2         3           sigaltstack
  0.00    0.000007           2         3           prlimit64
  0.00    0.000006           6         1           bind
  0.00    0.000005           5         1         1 rt_sigreturn
  0.00    0.000005           1         4           pread64
  0.00    0.000005           2         2           arch_prctl
  0.00    0.000005           2         2           set_robust_list
  0.00    0.000005           2         2           rseq
  0.00    0.000004           2         2         2 access
  0.00    0.000004           4         1           listen
  0.00    0.000004           2         2           set_tid_address
  0.00    0.000003           3         1           lseek
  0.00    0.000003           3         1           gettid
------ ----------- ----------- --------- --------- ------------------
100.00    0.258405           6     40257         7 total
