% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 56.62    0.108887        7777        14         2 wait4
 21.84    0.042006           4      9014           sendto
 19.44    0.037381           4      9025           recvfrom
  0.81    0.001555           7       204         1 clock_nanosleep
  0.39    0.000755          62        12           clone
  0.23    0.000450         225         2           execve
  0.10    0.000197           0       831       820 accept4
  0.09    0.000164           6        25           mmap
  0.07    0.000144           3        39           close
  0.06    0.000123           6        19         3 openat
  0.06    0.000107           5        20           read
  0.04    0.000072           5        13           write
  0.03    0.000067           5        12           kill
  0.02    0.000046           5         9           mprotect
  0.02    0.000039          39         1           sched_setaffinity
  0.02    0.000034           2        12           fstat
  0.02    0.000030           0        58           setsockopt
  0.02    0.000030           5         6           getdents64
  0.02    0.000030           4         7           statx
  0.01    0.000025           8         3           munmap
  0.01    0.000019           3         6           brk
  0.01    0.000015           2         7           rt_sigaction
  0.01    0.000014           1        13        13 rt_sigreturn
  0.01    0.000011           2         4           pread64
  0.01    0.000011           3         3           sigaltstack
  0.01    0.000011           3         3           sched_getaffinity
  0.01    0.000011           3         3           get_mempolicy
  0.01    0.000010           3         3           set_mempolicy
  0.00    0.000008           2         3           prlimit64
  0.00    0.000007           3         2         2 access
  0.00    0.000007           2         3           getrandom
  0.00    0.000006           0        12           socket
  0.00    0.000006           0        12           prctl
  0.00    0.000006           3         2           rseq
  0.00    0.000005           2         2           set_tid_address
  0.00    0.000005           0        14           set_robust_list
  0.00    0.000004           0        12           bind
  0.00    0.000004           2         2           arch_prctl
  0.00    0.000003           3         1           poll
  0.00    0.000003           0        12           listen
  0.00    0.000002           2         1           lseek
  0.00    0.000002           2         1           gettid
------ ----------- ----------- --------- --------- ------------------
100.00    0.192312           9     19447       841 total
