% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 87.06    4.403863         439     10011           recvfrom
  9.30    0.470534       39211        12         1 accept4
  3.39    0.171687          17     10000           sendto
  0.07    0.003645         113        32         2 futex
  0.06    0.002977         106        28           close
  0.01    0.000710          15        45           rt_sigprocmask
  0.01    0.000709          12        56           mmap
  0.01    0.000648          58        11           clone3
  0.01    0.000647          16        40           mprotect
  0.01    0.000571          16        35           sigaltstack
  0.01    0.000506          25        20           munmap
  0.01    0.000404          18        22           setsockopt
  0.00    0.000225          16        14           sched_getaffinity
  0.00    0.000205          15        13           rseq
  0.00    0.000197          15        13           set_robust_list
  0.00    0.000194          17        11           madvise
  0.00    0.000156          13        12           gettid
  0.00    0.000090           4        20         3 openat
  0.00    0.000070           3        21           read
  0.00    0.000053           4        11           write
  0.00    0.000031           4         7           statx
  0.00    0.000020           3         6           getdents64
  0.00    0.000015           2         6           rt_sigaction
  0.00    0.000010          10         1           socket
  0.00    0.000008           0        12           fstat
  0.00    0.000007           1         6           brk
  0.00    0.000007           7         1           bind
  0.00    0.000006           2         3           getrandom
  0.00    0.000005           5         1           listen
  0.00    0.000005           1         3           prlimit64
  0.00    0.000004           4         1           poll
  0.00    0.000003           3         1           lseek
  0.00    0.000003           1         2           arch_prctl
  0.00    0.000003           1         2           set_tid_address
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.000000           0         3           set_mempolicy
  0.00    0.000000           0         3           get_mempolicy
------ ----------- ----------- --------- --------- ------------------
100.00    5.058218         246     20494         8 total
