% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 86.52    3.442856         343     10011           recvfrom
  9.29    0.369579       30798        12         1 accept4
  3.62    0.144186          14     10000           sendto
  0.39    0.015563         598        26           futex
  0.04    0.001613          57        28           close
  0.02    0.000814          13        61           mmap
  0.02    0.000776          17        45           mprotect
  0.02    0.000606          50        12           clone3
  0.01    0.000474          12        37           rt_sigprocmask
  0.01    0.000462          21        22           setsockopt
  0.01    0.000448         224         2           execve
  0.01    0.000394          15        26           sigaltstack
  0.01    0.000209          14        14           rseq
  0.00    0.000195          15        13           gettid
  0.00    0.000179          12        14           set_robust_list
  0.00    0.000168          16        10           munmap
  0.00    0.000157           7        20         3 openat
  0.00    0.000145           9        15           sched_getaffinity
  0.00    0.000135          11        12           fstat
  0.00    0.000124           5        21           read
  0.00    0.000053           4        13           write
  0.00    0.000030           4         7           statx
  0.00    0.000029           4         6           getdents64
  0.00    0.000023           3         6           brk
  0.00    0.000021          21         1           sched_setaffinity
  0.00    0.000014           2         6           rt_sigaction
  0.00    0.000011          11         1           socket
  0.00    0.000010           2         4           pread64
  0.00    0.000010           3         3           set_mempolicy
  0.00    0.000009           4         2         2 access
  0.00    0.000009           3         3           prlimit64
  0.00    0.000009           3         3           getrandom
  0.00    0.000007           7         1           bind
  0.00    0.000007           2         3           get_mempolicy
  0.00    0.000005           2         2           set_tid_address
  0.00    0.000004           4         1           listen
  0.00    0.000004           2         2           arch_prctl
  0.00    0.000003           3         1           poll
  0.00    0.000002           2         1           lseek
------ ----------- ----------- --------- --------- ------------------
100.00    3.979343         194     20467         6 total
