ts_s,rss_kib,fds,zombies
0,1132,105,0
15,1132,105,0
30,1132,105,0
45,1132,105,0
60,1132,105,0
75,1132,105,0
90,1132,105,0
105,1132,105,0
120,1132,105,0
135,1132,105,0
150,1132,105,0
165,1132,105,0
180,1132,105,0
195,1132,105,0
210,1132,105,0
225,1132,105,0
240,1132,105,0
255,1132,105,0
270,1132,105,0
285,1132,105,0
300,1132,105,0
315,1132,105,0
331,1132,105,0
346,1132,105,0
361,1132,105,0
376,1132,105,0
391,1132,105,0
406,1132,105,0
421,1132,105,0
436,1132,105,0
451,1132,105,0
466,1132,105,0
481,1132,105,0
496,1132,105,0
511,1132,105,0
526,1132,105,0
541,1132,105,0
556,1132,105,0
571,1132,105,0
586,1132,105,0
