ts_s,rss_kib,fds,zombies
0,1160,104,0
15,2708,104,0
30,2708,104,0
45,2708,104,0
60,2708,104,0
75,2708,104,0
90,2708,104,0
105,2708,104,0
120,2708,104,0
135,2708,104,0
150,2708,104,0
165,2708,104,0
180,2708,104,0
195,2708,104,0
210,2708,104,0
225,2708,104,0
240,2708,104,0
255,2708,104,0
270,2708,104,0
285,2708,104,0
300,2708,104,0
315,2708,104,0
330,2708,104,0
345,2708,104,0
360,2708,104,0
375,2708,104,0
390,2708,104,0
405,2708,104,0
420,2708,104,0
435,2708,104,0
450,2708,104,0
465,2708,104,0
480,2708,104,0
495,2708,104,0
510,2708,104,0
525,2708,104,0
540,2708,104,0
555,2708,104,0
570,2708,104,0
585,2708,104,0
